,Accuracy,Balanced accuracy,Sensitivity,Precision,Recall,F1
DummyClassifier,0.807811410238527,0.5,0.0,0.0,0.0,0.0
SGDClassifier,0.7968754359045892,0.5666292412618974,0.1926248454550341,0.43871259691545167,0.1926248454550341,0.26674836558706955
RandomForestClassifier,0.8253033895940856,0.5668592604825714,0.1470490211888658,0.7252741360226445,0.1470490211888658,0.2443146687313476
SGDClassifier (balanced),0.5649044497140465,0.5809549277670522,0.6070366048908409,0.24586729424427026,0.6070366048908409,0.34772649707481423
RandomForestClassifier (balanced),0.8116892174640814,0.5728689265680318,0.1849351728005076,0.5289487850261481,0.1849351728005076,0.2739305887210036
ComplementNB,0.5154414841679453,0.5226385421020366,0.5343290614100825,0.2065544054044314,0.5343290614100825,0.297861707203493
SGDClassifier (under-sampling),0.5772911145208537,0.5645768536452144,0.5439197557214576,0.23781959195902921,0.5439197557214576,0.33077377190330376
RandomForestClassifier (under-sampling),0.6296833589064026,0.6091714090415301,0.5758499841370724,0.27704835393676625,0.5758499841370724,0.3739992034315958
BalancedRandomForestClassifier,0.6422095131817548,0.6150991526583796,0.5710596962539249,0.28510947258145514,0.5710596962539249,0.38014657473573765
BalancedBaggingClassifier,0.6851722694936533,0.6184043124756494,0.509947162222412,0.30788056451186707,0.509947162222412,0.38374756409742583
SGDClassifier (SMOTE),0.5760636071976565,0.5877620798057828,0.6067644581888015,0.25127601108037584,0.6067644581888015,0.35480912165102735
RandomForestClassifier (SMOTE),0.7835960384990934,0.5914332251647023,0.2792884976384792,0.40786162172571955,0.2792884976384792,0.3314916207951512
SGDClassifier (ADASYN),0.5647370623517924,0.588329492833616,0.6266522477399281,0.2490342154642952,0.6266522477399281,0.3555172065070626
RandomForestClassifier (ADASYN),0.7734412051890083,0.5961010000790803,0.3080324383691014,0.387651661075371,0.3080324383691014,0.34277291928247466
