,Accuracy,Balanced accuracy,Sensitivity,Precision,Recall,F1
DummyClassifier,0.7507698865499377,0.5,0.0,0.0,0.0,0.0
SGDClassifier,0.7571124336022035,0.6666461632107513,0.4862476943346509,0.5129215445713952,0.4862476943346509,0.49858664452204504
RandomForestClassifier,0.8507490655124925,0.7209621716721418,0.4621897233201581,0.8995111677274865,0.4621897233201581,0.605975493466054
SGDClassifier (balanced),0.7362805757754607,0.7071580010521114,0.6490566534914362,0.48171833738517095,0.6490566534914362,0.5502042086226411
RandomForestClassifier (balanced),0.8476714866548626,0.7121243811694329,0.4418603425559947,0.9004179248103558,0.4418603425559947,0.5899242391320587
ComplementNB,0.5922973637615582,0.5570577580493665,0.48685375494071154,0.30495185299445987,0.48685375494071154,0.37290959622884734
SGDClassifier (under-sampling),0.6803142829037969,0.668411629803039,0.6446640316205533,0.4108032906845366,0.6446640316205533,0.500531355414079
RandomForestClassifier (under-sampling),0.8344476686995869,0.7958036095999592,0.7187483530961791,0.6588511210541734,0.7187483530961791,0.6852145070079606
BalancedRandomForestClassifier,0.8297419502918224,0.7909649195579862,0.7136548089591568,0.6503451538482359,0.7136548089591568,0.6769993106988125
BalancedBaggingClassifier,0.8802736244999672,0.8471960566487235,0.7812437417654808,0.7500676352129163,0.7812437417654808,0.7648091776684596
SGDClassifier (SMOTE),0.7185312151616501,0.7028355559581762,0.6715335968379447,0.4619774871697232,0.6715335968379447,0.5438811320035107
RandomForestClassifier (SMOTE),0.8717632303757623,0.8041440168719237,0.6693254281949934,0.7908310718232336,0.6693254281949934,0.7231110203405808
SGDClassifier (ADASYN),0.7163622204734736,0.6775625966488189,0.6002397891963109,0.4487691396269863,0.6002397891963109,0.511847156488711
RandomForestClassifier (ADASYN),0.8608957964456685,0.7976327734257666,0.671501976284585,0.7513553346911364,0.671501976284585,0.7062700535517352
